186Os,80.,17.,22.57,185.953835
187Os,320.,13.,22.57,186.9557474
188Os,4.7,7.3,22.57,187.9558352
189Os,25.,14.9,22.57,188.9581442
190Os,13.1,15.2,22.57,189.9584437
192Os,2,16.6,22.57,191.961477
Ir,425.,14.,22.42,192.217
191Ir,954.,---,22.42,190.9605893
193Ir,111.,---,22.42,192.9629216
Pt,10.3,11.71,21.45,195.084
190Pt,152.,10.,21.45,189.9599297
192Pt,10.0,12.3,21.45,191.9610387
194Pt,1.44,14,21.45,193.9626809
195Pt,27.5,9.9,21.45,194.9647917
196Pt,0.72,12.3,21.45,195.96495209
198Pt,3.66,7.6,21.45,197.9678949
Au,98.65,7.75,19.3,196.966569
Hg,372.3,26.8,13.546,200.592
196Hg,3080.,115.,13.546,195.9658326
198Hg,2,---,13.546,197.9667686
199Hg,2150.,66.,13.546,198.96828064
200Hg,<60.,---,13.546,199.96832659
201Hg,7.8,---,13.546,200.97030284
202Hg,4.89,9.828,13.546,201.9706434
204Hg,0.43,---,13.546,203.97349398
Tl,3.43,9.89,11.85,204.3835
203Tl,11.4,6.28,11.85,202.9723446
205Tl,0.104,11.4,11.85,204.9744278
Pb,0.171,11.118,11.35,207.2
204Pb,0.65,12.3,11.35,203.973044
206Pb,0.03,10.68,11.35,205.9744657
207Pb,0.699,10.82,11.35,206.9758973
208Pb,0.00048,11.34,11.35,207.9766525
Bi,0.0338,9.156,9.747,208.9804
Po,---,---,9.32,209
At,---,---,-,210
Rn,---,12.6,4.4,222
Fr,---,---,-,223
Ra,12.8,13.,5.5,226
Ac,---,---,-,227
Th,7.37,13.36,11.78,232.037
Pa,200.6,10.5,15.37,231.03588
U,7.57,8.908,19.05,238.028 91
233U,574.7,12.9,19.05,233.0396355
234U,100.1,19.3,19.05,234.0409523
235U,680.9,14,19.05,235.0439301
238U,2.68,8.871,19.05,238.0507884
Np,175.9,14.5,20.25,237
Pu,---,---,19.84,244
238Pu,558.,25.0,19.84,238.0495601
239Pu,1017.3,7.7,19.84,239.0521636
240Pu,289.6,1.54,19.84,240.0538138
242Pu,18.5,8.2,19.84,242.0587428
Am,75.3,9.0,13.67,241
244Cm,16.2,11.3,13.51,244.0627528
246Cm,1.36,10.9,13.51,246.0672238
248Cm,3,7.5,13.51,248.0723499
